post_id,query,collection_type,text,likes,reposts,replies,timestamp_utc,author_username,scraped_at_utc
2084845776883290252,bansos,random,"@minconvos Ada yang gobloknya membawa dia lebih deket sama sirkel istana jadi buzzer, ada yang gobloknya cuma dapet embege sama bansos aje sisanya disuruh survive sendiri awoakwoka",0,0,0,Wed Aug 05 03:35:42 +0000 2026,mimicilok,2026-08-05T03:36:33.454258+00:00
2084836126641307797,subsidi BBM,random,"Monitoring Patroli Mobile SPBU dalam rangka menjamin kelancaran Distribusi BBM Subsidi dan Antisipasi penyalahgunaan BBM subsidi dan Praktik Penimbunan di Wilkum Polres LabuhanBatu Selatan

#poldasumut 
#divisihumaspolri https://t.co/PAkhelqUUv",0,0,0,Wed Aug 05 02:57:21 +0000 2026,PolresS19146,2026-08-05T03:36:34.857139+00:00
2084793877438067079,subsidi listrik,random,"Menkeu menyatakan Pemerintah akan meluncurkan stimulus untuk kendaraan listrik 2-3 minggu lagi untuk 500 ribu motor dan mobil listrik. Khusus motor listrik, subsidi yang rencananya akan diberikan adalah sebesar Rp5 juta per unit. Sementara untuk mobil listrik masih dalam",8,2,2,Wed Aug 05 00:09:28 +0000 2026,doktermarket,2026-08-05T03:36:36.685923+00:00
2084841648241119703,pajak PPN,random,"Kalender Pajak Agustus 2026

15 Agu: Batas Setor PPh 21, PPh Unifikasi, PPh 25 Masa 
17 Agu: Hari Kemerdekaan Republik Indonesia
20 Agu: Batas Upload Faktur Pajak Keluaran Masa, batas lapor SPT Masa PPh 21, PPh Unifikasi Masa 
31 Agu: Batas Pelaporan dan Pembayaran SPT PPN Masa https://t.co/rEJc9C0UoP",0,0,1,Wed Aug 05 03:19:18 +0000 2026,pajak_cileungsi,2026-08-05T03:36:37.974262+00:00
2084845945330761963,kebijakan pendidikan,random,"dengan rupiah yg terus melemah, kebijakan yg ga konsisten, investor yang pada cabut, pendidikan yang bukan jd prioritas, presiden yang yiap ngomong gapake data—kalopun indonesia menyatakan keinginan atas kepemilikan nuklir pun negara-negara adidaya juga kaga peduli keknya🤣😭",0,0,0,Wed Aug 05 03:36:22 +0000 2026,alamsyahdafaa,2026-08-05T03:36:39.582966+00:00
2084845747795579383,BPJS Kesehatan,random,"@NenkMonica imho, ini warisan menkes nya jokowi, mr president @prabowo @sjafriesjams @bang_dasco @fadlizon asyik dipodium menebar madu janji mbg &amp; kopdes hingga melewatkan kesehatan warga bpjs yg jg hrs diperbaiki krn cara2 jokowi tdk memperbaiki keadaan malah makin bikin busuk keadaan.",0,0,0,Wed Aug 05 03:35:35 +0000 2026,otomoyotoM,2026-08-05T03:36:41.452597+00:00
2084769202628649061,subsidi pupuk,random,"Feri Amsari berpendapat bahwa barang subsidi tidak perlu disalurkan melalui koperasi. Menurutnya, mekanisme penyaluran melalui perusahaan swasta selama ini sudah berjalan. Ia juga berpendapat bahwa penyaluran barang subsidi melalui koperasi berpotensi melanggar Undang-Undang Anti https://t.co/FIgbqxwRMT",28,13,6,Tue Aug 04 22:31:25 +0000 2026,tijabar,2026-08-05T03:36:42.961419+00:00
2084843931301474772,regulasi pemerintah,random,19/ KANWIL KEMENKUM RIAU memperkuat sinergi antara perguruan tinggi dan pemerintah melalui diskusi Regulatory Impact Assessment (RIA) demi mewujudkan regulasi yang lebih efektif. #NyamanBersama #KemenkumRiau #RiauBedelau #KementerianHukum #LayananHukumMakinMudah,0,0,1,Wed Aug 05 03:28:22 +0000 2026,kemenkumriau,2026-08-05T03:36:44.431333+00:00
2084827495078228431,kebijakan energi,random,"""ketahanan pangan"" hampir semua harga bahan makanan naik. ""ketahanan energi"" temenku yang di kalimantan masih sering mati lampu. make it make sense anjing? semua kebijakan, baik yang utama atau pendukung hasilnya JELEK. main pasir aja, jangan main presiden presidenan.",0,0,0,Wed Aug 05 02:23:03 +0000 2026,anubeis,2026-08-05T03:36:46.089444+00:00
2084839487121813688,bantuan sosial,random,"Maknai HUT ke-81 RI, PLN Hadirkan Energi Kebaikan dari Bondowoso hingga Kepulauan Kangean.

Menjelang HUT ke-81 Kemerdekaan Republik Indonesia, PLN UID Jawa Timur bersama YBM PLN menghadirkan semangat kepedulian dan gotong royong melalui berbagai aksi sosial di Surabaya, https://t.co/lfMi9v1yef",0,0,0,Wed Aug 05 03:10:42 +0000 2026,plndisjatim,2026-08-05T03:36:47.570574+00:00
2084851999015870960,bansos,random,Bansos is here,0,0,0,Wed Aug 05 04:00:25 +0000 2026,nninaur,2026-08-05T04:03:33.038721+00:00
