post_id,query,collection_type,text,likes,reposts,replies,timestamp_utc,author_username,scraped_at_utc
2084507203176739266,pajak AC kulkas 2027,targeted,"❌ Tahun 2027, Pemilik AC hingga Kulkas Bakal Dikenai Pajak 

✅ Konten palsu (fabricated content), tidak ditemukan informasi kredibel yang membenarkan klaim. Hasil penelusuran dengan kata kunci “daftar jenis pajak baru yang dikenakan tahun 2027” menemukan pemberitaan https://t.co/5yRd4suHXJ",0,0,0,Tue Aug 04 05:10:20 +0000 2026,TurnBackHoax,2026-08-04T20:43:33.515680+00:00
2083978941526892807,pajak AC kulkas 2027,targeted,"""Di tahun 2027, menurut SE Dirjen Pajak, ada 8 barang yang akan dikenakan pajak:

Sepeda kayuh, sepeda listrik, baju, perhiasan emas, kulkas 2 pintu, AC, TV LED, dan jam tangan akan dikenakan pajak""

#PresidenNegaraBangkrut 
#PresidenNegaraBangkrut https://t.co/CoAHCqfTAi",1,2,0,Sun Aug 02 18:11:12 +0000 2026,ArtaN7707,2026-08-04T20:43:33.515680+00:00
2083978371583951063,pajak AC kulkas 2027,targeted,"""Di tahun 2027, menurut SE Dirjen Pajak, ada 8 barang yang akan dikenakan pajak:

Sepeda kayuh, sepeda listrik, baju, perhiasan emas, kulkas 2 pintu, AC, TV LED, dan jam tangan""

#PresidenNegaraBangkrut 
#PresidenNegaraBangkrut https://t.co/PPRT8sR7bU",1,2,0,Sun Aug 02 18:08:56 +0000 2026,ArtaN7707,2026-08-04T20:43:33.515680+00:00
2083770486341689626,pajak AC kulkas 2027,targeted,"""Di tahun 2027, menurut SE Dirjen Pajak, ada 8 barang yang akan dikenakan pajak:
#PesidenNegaraBangkrut 

Sepeda kayuh, sepeda listrik, baju, perhiasan emas, kulkas 2 pintu, AC, TV LED, dan jam tangan akan dikenakan pajak""
#PesidenNegaraBangkrut https://t.co/gWcKpN5fJC",13,7,0,Sun Aug 02 04:22:53 +0000 2026,Srik4ndiMuslim2,2026-08-04T20:43:33.515680+00:00
2082837871233257674,pajak AC kulkas 2027,targeted,"Tahun 2027 Pemerintahan Gelap Mata

Pajak baru:
• Sepeda &gt; 1 juta
• Sepeda listrik &gt;= 1 juta
• Smart TV
• Kulkas 2 pintu
• AC &gt;= 1 PK
• Sepatu, baju, celana, dll &gt; 500 ribu
• Jam tangan &gt;= 1 juta
• Perhiasan emas (kadar tertentu) &gt;= 1 gram https://t.co/PkTAAbtIK4",10,1,5,Thu Jul 30 14:37:00 +0000 2026,Navpem,2026-08-04T20:43:33.515680+00:00
2082778735099752582,pajak AC kulkas 2027,targeted,"""Di tahun 2027, menurut SE Dirjen Pajak, ada 8 barang yang akan dikenakan pajak:

Sepeda kayuh, sepeda listrik, baju, perhiasan emas, kulkas 2 pintu, AC, TV LED, dan jam tangan""

#PrabowoHarusLengser
#PrabowoHarusLengser https://t.co/QntpgOLA16",2,3,0,Thu Jul 30 10:42:01 +0000 2026,ArtaN7707,2026-08-04T20:43:33.515680+00:00
2082682001623249362,pajak AC kulkas 2027,targeted,"""Di tahun 2027, menurut SE Dirjen Pajak, ada 8 barang yang akan dikenakan pajak:
#PrabowoHarusLengser 

Sepeda kayuh, sepeda listrik, baju, perhiasan emas, kulkas 2 pintu, AC, TV LED, dan jam tangan""
#PrabowoHarusLengser https://t.co/NoSZgKsOku",55,30,4,Thu Jul 30 04:17:38 +0000 2026,MichelAdam1515,2026-08-04T20:43:33.515680+00:00
2084192569467015432,Samsat pemutihan pajak TikTok,targeted,"❌ Akun TikTok Samsat Bagikan Tautan Layanan Pemutihan Pajak 

✅ Konten tiruan (impostor content), tautan yang beredar bukan merupakan layanan resmi Samsat. Masyarakat yang ingin memanfaatkan program pemutihan pajak bisa mengakses layanan melalui kantor Samsat, Samsat Keliling, https://t.co/wFpzzqMycD",0,0,0,Mon Aug 03 08:20:05 +0000 2026,TurnBackHoax,2026-08-04T20:44:07.777434+00:00
2083402844238176554,larangan toko kelontong dekat Kopdes Merah Putih,targeted,"❌ Ada Larangan Pendirian Toko Kelontong di Dekat Kopdes Merah Putih 

✅ Konten palsu (fabricated content), tidak ditemukan informasi valid atau pemberitaan kredibel yang membenarkan klaim. Hasil penelusuran mengarah ke pemberitaan https://t.co/DzA9ZaMXLQ “Mendes Janji, Kopdes https://t.co/4yVKk0xw3M",0,0,0,Sat Aug 01 04:02:00 +0000 2026,TurnBackHoax,2026-08-04T20:44:33.961937+00:00
2078496456646987914,Pemprov Jabar SPP SMA SMK negeri,targeted,"Gubernur Jabar Dedi Mulyadi menegaskan tidak ada alasan untuk menghidupkan kembali SPP di SMA dan SMK negeri. Menurutnya, kebutuhan operasional sekolah saat ini sudah dapat dipenuhi melalui dana BOS dan bantuan operasional dari Pemprov Jabar.

FULL : https://t.co/4YXO6w9N9m https://t.co/gaaU8I1shP",19,4,2,Sat Jul 18 15:05:46 +0000 2026,detikjabar_,2026-08-04T20:45:03.901086+00:00
